year_quarter,ai_presence,ai_share,positive_share,att_positive,att_neutral,att_negative,att_mixed,risk_share,theme_AI strategy and investment,theme_AI infrastructure and computing,theme_Generative AI and LLM,theme_AI productivity and enterprise applications,theme_AI content and customer experience,"theme_AI security, risk and responsibility"
2021Q1,0.7727272727272727,0.043875166031437596,0.30768398268398267,0.30768398268398267,0.44383116883116885,0.009848484848484848,0.011363636363636364,0.05324675324675325,0.4690476190476191,0.2158008658008658,0.0,0.13354978354978356,0.22510822510822512,0.05324675324675325
2021Q2,0.6590909090909091,0.03715098383141992,0.20986652236652237,0.20986652236652237,0.4194624819624819,0.029761904761904757,0.0,0.05627705627705628,0.356060606060606,0.1378066378066378,0.007575757575757575,0.1801046176046176,0.24765512265512266,0.05627705627705628
2021Q3,0.6888888888888889,0.03735660683173883,0.14423280423280424,0.14423280423280424,0.5142857142857142,0.011851851851851851,0.018518518518518517,0.1914814814814815,0.2808994708994709,0.12460317460317459,0.011111111111111112,0.17507936507936506,0.303968253968254,0.1914814814814815
2021Q4,0.6521739130434783,0.042582243087076005,0.18812974465148377,0.18812974465148377,0.4567977915804003,0.007246376811594202,0.0,0.09244306418219461,0.34986197377501727,0.2331608005521049,0.007246376811594202,0.12379227053140097,0.2697032436162871,0.09244306418219461
2022Q1,0.6458333333333334,0.03536379974497347,0.16979166666666667,0.16979166666666667,0.41180555555555554,0.012152777777777776,0.052083333333333336,0.10277777777777779,0.3236111111111111,0.17256944444444444,0.012152777777777778,0.11458333333333333,0.23645833333333333,0.10277777777777779
2022Q2,0.6530612244897959,0.03272834737186386,0.22342079689018465,0.22342079689018465,0.388824101068999,0.04081632653061224,0.0,0.10495626822157433,0.3511175898931001,0.17244897959183672,0.010932944606413994,0.180466472303207,0.24990281827016522,0.10495626822157433
2022Q3,0.5925925925925926,0.030564548364804694,0.18725749559082894,0.18725749559082894,0.3590388007054674,0.040123456790123455,0.006172839506172839,0.09907407407407406,0.37231040564373896,0.12936507936507938,0.027777777777777776,0.08443562610229277,0.20687830687830686,0.09907407407407406
2022Q4,0.58,0.03192229706429336,0.16206349206349205,0.16206349206349205,0.34793650793650793,0.045,0.025,0.04722222222222222,0.3965873015873016,0.10642857142857143,0.027777777777777776,0.08063492063492063,0.17706349206349206,0.04722222222222222
2023Q1,0.8085106382978723,0.07657284535658775,0.3859052000009447,0.3859052000009447,0.40827328699669124,0.013002364066193855,0.0013297872340425532,0.07967142195865601,0.4880862340968724,0.18428941035324015,0.3064708046091025,0.16593657524508587,0.41466137290605376,0.07967142195865601
2023Q2,0.9555555555555556,0.14984577949040181,0.385156909176517,0.385156909176517,0.4922481766599413,0.028273208273208273,0.049877261445888894,0.13113330750585653,0.5752095689350591,0.24210102533631944,0.4665938273781411,0.26609213589605746,0.4145880989018244,0.13113330750585653
2023Q3,0.9555555555555556,0.18008340838678288,0.3779904797835655,0.3779904797835655,0.5151816258885402,0.032727920227920225,0.029655529655529655,0.0952232384249928,0.5863375612653218,0.20517995162732003,0.4657231434811414,0.28282888384023575,0.37353406941642237,0.0952232384249928
2023Q4,0.9555555555555556,0.15770624664853733,0.3827626803116999,0.3827626803116999,0.5237491230628486,0.021873638344226582,0.027170113836780502,0.08574892065088144,0.5991838299681437,0.24515559241049437,0.40634455595239904,0.29216924687512924,0.4076590947179183,0.08574892065088144
2024Q1,0.9555555555555556,0.1596090656949418,0.3972143337494215,0.3972143337494215,0.517772831457042,0.010582010582010581,0.02998637976708152,0.12012364990435166,0.5531918828410056,0.23103257853257853,0.3862985698512014,0.2888874527032422,0.40808836712345486,0.12012364990435166
2024Q2,0.9555555555555556,0.17345960552243433,0.4400022308845838,0.4400022308845838,0.46039019803725684,0.019032057267351386,0.03613106936636348,0.09223571998081802,0.5091625368095957,0.21985869976066053,0.3303159440414343,0.3163049151284445,0.3948198932512658,0.09223571998081802
2024Q3,0.9555555555555556,0.1576627013853439,0.4264915077660176,0.4264915077660176,0.4589689576944479,0.05015071348404682,0.019944376611043278,0.1231652298318965,0.5412617302813382,0.24116646606842684,0.3626576183438929,0.2838188681325936,0.4636616651322534,0.1231652298318965
2024Q4,0.9777777777777777,0.16231226256855444,0.4664061755238226,0.4664061755238226,0.47394583992623207,0.018448690017317467,0.018977072310405643,0.09730781201369436,0.5532293305822717,0.2222398770437986,0.3792410857116739,0.3348238326669699,0.42570387491956113,0.09730781201369436
